target_gene,matched_gene,match_rank,match_distance,target_mean_expression,matched_mean_expression,target_sd_expression,matched_sd_expression,target_probe_count,matched_probe_count,matched_mean_log2_delta,matched_direction
FNIP2,ZNF121,75,0.2698892555211455,7.7775,8.27,0.2993060154909868,0.3091924966748062,1,1,-0.07000000000000044,decrease
FNIP2,PTPRE,76,0.2737241371750267,7.7775,7.3566666666666665,0.2993060154909868,0.29367060500231246,1,1,0.22999999999999984,increase
FNIP2,BCL6,77,0.2739804974371728,7.7775,7.623333333333333,0.2993060154909868,0.3356766120521174,1,1,0.016666666666666607,increase
FNIP2,CMTM8,78,0.27584839521644183,7.7775,7.468333333333334,0.2993060154909868,0.3335438729035734,1,1,0.10666666666666647,increase
FNIP2,BCL9L,79,0.2777010409487943,7.7775,7.331666666666667,0.2993060154909868,0.2874917653629669,1,1,-0.05000000000000012,decrease
FNIP2,APPL2,80,0.2795270589154255,7.7775,7.2925,0.2993060154909868,0.3064496102728206,1,1,-0.12499999999999985,decrease
FNIP2,SCARNA12,81,0.2806336094839983,7.7775,7.558333333333334,0.2993060154909868,0.281548747057587,1,1,0.15000000000000022,increase
FNIP2,NIN,82,0.28099867393736855,7.7775,7.9366666666666665,0.2993060154909868,0.3262830152806089,1,1,-0.053333333333332934,decrease
FNIP2,LRBA,83,0.28410118678968277,7.7775,7.258333333333333,0.2993060154909868,0.27895367270418125,1,1,-0.01999999999999987,decrease
FNIP2,LSM7,84,0.286321421217168,7.7775,8.3475,0.2993060154909868,0.3139520808832281,1,1,-0.0649999999999995,decrease
FNIP2,LOC105375546,85,0.28779959675401473,7.7775,7.973333333333334,0.2993060154909868,0.271940278648668,1,1,0.02666666666666669,increase
FNIP2,ZMYM2,86,0.2881383320061316,7.7775,7.956666666666667,0.2993060154909868,0.2682716849943299,1,1,-0.11999999999999995,decrease
FNIP2,SIRPA,87,0.29073350504802137,7.7775,8.31,0.2993060154909868,0.2961572064108703,1,1,0.0733333333333331,increase
FNIP2,ARID4B,88,0.29284643150128425,7.7775,8.343333333333334,0.2993060154909868,0.28426406843999924,1,1,-0.05666666666666694,decrease
FNIP2,SLC43A2,89,0.29355804934914453,7.7775,7.465833333333333,0.2993060154909868,0.3094704665989464,1,1,-0.0783333333333333,decrease
FNIP2,PGM1,90,0.2938570325988032,7.7775,8.123333333333333,0.2993060154909868,0.32368147455437885,1,1,-0.02333333333333328,decrease
FNIP2,RPL39L,91,0.29394258327529377,7.7775,7.911666666666667,0.2993060154909868,0.2574996322445152,1,1,0.09000000000000001,increase
FNIP2,CNDP2,92,0.2943684569534065,7.7775,8.226666666666667,0.2993060154909868,0.2799134065233662,1,1,-0.0733333333333331,decrease
FNIP2,CD84,93,0.2961806824413588,7.7775,7.491666666666667,0.2993060154909868,0.29768297149005946,1,1,0.026666666666666543,increase
FNIP2,NOP16,94,0.2993767547756099,7.7775,7.9875,0.2993060154909868,0.2773617591784155,1,1,0.03166666666666673,increase
FNIP2,NFIC,95,0.30207748938176027,7.7775,7.452500000000001,0.2993060154909868,0.3343140874849714,1,1,0.03833333333333341,increase
FNIP2,CAMK2G,96,0.30208205602328764,7.7775,7.241666666666666,0.2993060154909868,0.32352696482626764,1,1,-0.09333333333333312,decrease
FNIP2,LOC105373707,97,0.30479118628594754,7.7775,7.406666666666666,0.2993060154909868,0.3335847536665726,1,1,0.06000000000000005,increase
FNIP2,CCDC134,98,0.3048497240602403,7.7775,7.134166666666666,0.2993060154909868,0.302878863674252,1,1,-0.17500000000000013,decrease
FNIP2,FADS3,99,0.3050240131212879,7.7775,7.683333333333334,0.2993060154909868,0.341609381746125,1,1,-0.05666666666666679,decrease
FNIP2,TMEM109,100,0.3051932930446481,7.7775,8.0825,0.2993060154909868,0.26365007801319473,1,1,-0.05166666666666675,decrease
FUS,LARS1,1,0.042736748319608664,8.984166666666667,9.060833333333333,0.15894300484097684,0.15559027390339455,1,1,0.055000000000000014,increase
FUS,NBR1,2,0.06263845496282293,8.984166666666667,9.025833333333333,0.15894300484097684,0.1674112157279648,1,1,-0.05499999999999942,decrease
FUS,CPSF2,3,0.06299742512657491,8.984166666666667,8.868333333333332,0.15894300484097684,0.15879279427968854,1,1,0.013333333333333641,increase
FUS,CLIP1,4,0.06376582485844041,8.984166666666667,8.936666666666667,0.15894300484097684,0.16455633648932474,1,1,0.006666666666666525,increase
FUS,NOL11,5,0.08641242957727976,8.984166666666667,8.8025,0.15894300484097684,0.15932385543003585,1,1,0.021666666666666796,increase
FUS,KPNA3,6,0.08713244263405118,8.984166666666667,9.008333333333333,0.15894300484097684,0.16650598314848128,1,1,0.02666666666666669,increase
FUS,ERBIN,7,0.08758657791703602,8.984166666666667,8.964166666666667,0.15894300484097684,0.14687399258197398,1,1,0.04500000000000023,increase
FUS,PIAS1,8,0.0877087077875837,8.984166666666667,9.129999999999999,0.15894300484097684,0.16331787187178037,1,1,0.05333333333333338,increase
FUS,LACTB,9,0.08864455085178329,8.984166666666667,9.151666666666667,0.15894300484097684,0.16347551016663742,1,1,0.0866666666666666,increase
FUS,MLX,10,0.0952060761365802,8.984166666666667,9.066666666666666,0.15894300484097684,0.16160183017265453,1,1,0.086666666666666,increase
FUS,PIK3C2A,11,0.10431764167326586,8.984166666666667,9.194166666666666,0.15894300484097684,0.15465259209733373,1,1,-0.005000000000000189,decrease
FUS,ESYT2,12,0.10534277154587009,8.984166666666667,8.945833333333333,0.15894300484097684,0.15186467261308276,1,1,-0.19833333333333325,decrease
FUS,PGM2,13,0.10616870102083772,8.984166666666667,8.939166666666667,0.15894300484097684,0.14594259975840623,1,1,0.048333333333332895,increase
FUS,TMEM126A,14,0.10747219707699507,8.984166666666667,9.135833333333334,0.15894300484097684,0.16999777182140485,1,1,0.048333333333333485,increase
FUS,AMFR,15,0.10785041076678895,8.984166666666667,8.876666666666667,0.15894300484097684,0.17280221659633355,1,1,-0.06666666666666672,decrease
FUS,RARS2,16,0.11024204445000756,8.984166666666667,8.915,0.15894300484097684,0.17154379244750526,1,1,-0.0033333333333332624,decrease
