gene	table_s1_protein	raw_protein_group	table_s1_log2fc_5uM_39h	raw_log2_delta	table_s1_direction	raw_direction	direction_agreement	raw_bde_detected	raw_vehicle_detected	raw_rank_by_delta_desc	table_s1_rank_by_delta_desc	raw_percentile_by_delta	table_s1_percentile_by_delta
IGHG2	IGHG2_HUMAN	P01859	-0.374188	0.806638	decrease	increase	FALSE	1	2	29	1071	0.978378	0.173745
IGKC	IGKC_HUMAN	P01834	-0.114140	0.130775	decrease	increase	FALSE	2	4	367	838	0.717375	0.353668
IL2RB	IL2RB_HUMAN	P14784	0.714231	0.704298	increase	increase	TRUE	3	4	37	145	0.972201	0.888803
ILF2	ILF2_HUMAN	Q12905	-0.194295	-0.040929	decrease	decrease	TRUE	3	4	718	934	0.446332	0.279537
ILF3	ILF3_HUMAN	Q12906	-0.403298	-0.162092	decrease	decrease	TRUE	3	4	958	1099	0.261004	0.152124
ILK	ILK_HUMAN	Q13418	0.633637	0.139289	increase	increase	TRUE	3	4	350	175	0.730502	0.865637
IMPA1	IMPA1_HUMAN	P29218	1.076053	-0.197015	increase	decrease	FALSE	3	4	1007	60	0.223166	0.954440
IMPA2	IMPA2_HUMAN	O14732	0.104634	0.065090	increase	increase	TRUE	3	4	462	586	0.644015	0.548263
INF2	INF2_HUMAN	Q27J81	0.351799	-0.106488	increase	decrease	FALSE	3	4	860	344	0.336680	0.735135
IPO11	IPO11_HUMAN	Q9UI26	1.700847	-0.002224	increase	decrease	FALSE	2	3	620	20	0.522008	0.985328
IPO5	IPO5_HUMAN	O00410	-0.120975	-0.069300	decrease	decrease	TRUE	3	4	782	845	0.396911	0.348263
IPO7	IPO7_HUMAN	O95373	-0.001986	-0.331834	decrease	decrease	TRUE	3	4	1134	702	0.125097	0.458687
IPO9	IPO9_HUMAN	Q96P70	0.305028	-0.158479	increase	decrease	FALSE	3	4	949	385	0.267954	0.703475
IRGQ	IRGQ_HUMAN	Q8WZA9	0.494408	0.028185	increase	increase	TRUE	3	4	557	243	0.570656	0.813127
ISG15	ISG15_HUMAN	P05161	-0.132791	0.229419	decrease	increase	FALSE	3	4	219	858	0.831660	0.338224
ISM2	ISM2_HUMAN	Q6H9L7	-0.134562	-0.557463	decrease	decrease	TRUE	3	4	1234	861	0.047876	0.335907
ISOC1	ISOC1_HUMAN	Q96CN7	0.932726	0.137284	increase	increase	TRUE	3	4	358	87	0.724324	0.933591
ISOC2	ISOC2_HUMAN	Q96AB3	0.361928	0.349753	increase	increase	TRUE	3	4	115	335	0.911969	0.742085
IST1	IST1_HUMAN	P53990	-0.302449	0.175013	decrease	increase	FALSE	3	4	282	1024	0.783012	0.210039
ITM2B	ITM2B_HUMAN	Q9Y287	0.192358	-0.381505	increase	decrease	FALSE	3	4	1169	490	0.098069	0.622394
ITPA	ITPA_HUMAN	Q9BY32	0.589763	-0.080217	increase	decrease	FALSE	3	4	810	189	0.375290	0.854826
ITPR2	ITPR2_HUMAN	Q14571	0.528433	0.255803	increase	increase	TRUE	3	4	187	222	0.856371	0.829344
IVD	IVD_HUMAN	P26440	0.555156	-0.062904	increase	decrease	FALSE	3	4	770	211	0.406178	0.837838
IWS1	IWS1_HUMAN	Q96ST2	1.150797	-0.293036	increase	decrease	FALSE	3	4	1101	48	0.150579	0.963707
JAGN1	JAGN1_HUMAN	Q8N5M9	0.391088	-0.226264	increase	decrease	FALSE	2	4	1037	308	0.200000	0.762934
JAK1	JAK1_HUMAN	P23458	-0.286761	0.050488	decrease	increase	FALSE	3	4	500	1013	0.614672	0.218533
JAM2	JAM2_HUMAN	P57087	0.261412	0.189320	increase	increase	TRUE	3	4	259	422	0.800772	0.674903
KDM1A	KDM1A_HUMAN	O60341	0.103934	-0.003210	increase	decrease	FALSE	3	4	621	588	0.521236	0.546718
KIF2A	KIF2A_HUMAN	O00139	0.466787	0.223411	increase	increase	TRUE	3	4	225	255	0.827027	0.803861
KLC1	KLC1_HUMAN	Q07866	0.310686	-0.000563	increase	decrease	FALSE	3	4	614	382	0.526641	0.705792
KLC4	KLC4_HUMAN	Q9NSK0	0.647689	-0.297294	increase	decrease	FALSE	3	4	1106	163	0.146718	0.874903
KTN1	KTN1_HUMAN	Q86UP2	-0.175661	-0.078764	decrease	decrease	TRUE	3	4	807	910	0.377606	0.298069
KYNU	KYNU_HUMAN	Q16719	0.235598	-0.572390	increase	decrease	FALSE	3	4	1239	448	0.044015	0.654826
LACTB	LACTB_HUMAN	P83111	-1.261858	-0.073376	decrease	decrease	TRUE	3	4	792	1273	0.389189	0.017761
LAMA1	LAMA1_HUMAN	P25391	0.904108	1.088674	increase	increase	TRUE	3	4	8	95	0.994595	0.927413
LAMA3	LAMA3_HUMAN	Q16787	0.621483	0.198649	increase	increase	TRUE	3	4	249	181	0.808494	0.861004
LAMA5	LAMA5_HUMAN	O15230	0.541412	-0.188129	increase	decrease	FALSE	3	3	1000	217	0.228571	0.833205
LAMB1	LAMB1_HUMAN	P07942	0.506166	0.604582	increase	increase	TRUE	3	4	43	239	0.967568	0.816216
LAMB2	LAMB2_HUMAN	P55268	-0.592265	0.253860	decrease	increase	FALSE	3	3	190	1187	0.854054	0.084170
LAMB3	LAMB3_HUMAN	Q13751	1.099257	-0.144193	increase	decrease	FALSE	3	4	924	56	0.287259	0.957529
LAMC1	LAMC1_HUMAN	P11047	0.586512	0.600009	increase	increase	TRUE	3	4	44	190	0.966795	0.854054
LAMP1	LAMP1_HUMAN	P11279	-0.333329	-0.381485	decrease	decrease	TRUE	3	4	1168	1040	0.098842	0.197683
LAMP2	LAMP2_HUMAN	P13473	0.362489	0.901690	increase	increase	TRUE	3	4	17	332	0.987645	0.744402
LARP1	LARP1_HUMAN	Q6PKG0	-0.965797	-0.048141	decrease	decrease	TRUE	3	4	728	1251	0.438610	0.034749
LARP4	LARP4_HUMAN	Q71RC2	0.159416	-0.068767	increase	decrease	FALSE	3	4	780	521	0.398456	0.598456
LAS1L	LAS1L_HUMAN	Q9Y4W2	0.335357	-0.219008	increase	decrease	FALSE	3	4	1028	365	0.206950	0.718919
LASP1	LASP1_HUMAN	Q14847	-0.119606	-0.033300	decrease	decrease	TRUE	3	4	696	843	0.463320	0.349807
LBH	LBH_HUMAN	Q53QV2	0.428817	0.452544	increase	increase	TRUE	1	3	76	277	0.942085	0.786873
LBR	LBR_HUMAN	Q14739	1.123308	0.597091	increase	increase	TRUE	2	4	47	52	0.964479	0.960618
LDHA	LDHA_HUMAN	P00338	0.142946	0.188385	increase	increase	TRUE	3	4	262	541	0.798456	0.583012
LDHB	LDHB_HUMAN	P07195	-0.184602	-0.198250	decrease	decrease	TRUE	3	4	1008	919	0.222394	0.291120
LEMD2	LEMD2_HUMAN	Q8NC56	-1.305783	-0.299179	decrease	decrease	TRUE	3	4	1107	1277	0.145946	0.014672
LETM1	LETM1_HUMAN	O95202	-0.059445	-0.027775	decrease	decrease	TRUE	3	4	679	774	0.476448	0.403089
LGMN	LGMN_HUMAN	Q99538	-0.510454	-0.147815	decrease	decrease	TRUE	3	4	930	1153	0.282625	0.110425
LHPP	LHPP_HUMAN	Q9H008	-0.012601	-0.269806	decrease	decrease	TRUE	3	4	1077	719	0.169112	0.445560
LIMA1	LIMA1_HUMAN	Q9UHB6	-0.214968	-0.091983	decrease	decrease	TRUE	3	4	833	954	0.357529	0.264093
LIMS1	LIMS1_HUMAN	P48059	-0.742367	-0.411333	decrease	decrease	TRUE	3	4	1185	1219	0.085714	0.059459
LMAN1	LMAN1_HUMAN	P49257	-0.000892	0.188495	decrease	increase	FALSE	3	4	261	700	0.799228	0.460232
LMAN2	LMAN2_HUMAN	Q12907	-0.010466	-0.042375	decrease	decrease	TRUE	3	4	719	716	0.445560	0.447876
LMF2	LMF2_HUMAN	Q9BU23	0.298886	0.138126	increase	increase	TRUE	3	4	353	393	0.728185	0.697297
LMNA	LMNA_HUMAN	P02545	-0.127720	-0.025065	decrease	decrease	TRUE	3	4	673	852	0.481081	0.342857
LMNB1	LMNB1_HUMAN	P20700	-0.010889	-0.111628	decrease	decrease	TRUE	3	4	870	718	0.328958	0.446332
LMNB2	LMNB2_HUMAN	Q03252	-0.138224	0.087401	decrease	increase	FALSE	3	4	423	867	0.674131	0.331274
LPIN2	LPIN2_HUMAN	Q92539	1.657319	0.259432	increase	increase	TRUE	2	2	185	21	0.857915	0.984556
LPP	LPP_HUMAN	Q93052	-0.890290	-0.169638	decrease	decrease	TRUE	3	4	972	1245	0.250193	0.039382
LRBA	LRBA_HUMAN	P50851	0.517660	0.098865	increase	increase	TRUE	3	4	410	232	0.684170	0.821622
LRCH1	LRCH1_HUMAN	Q9Y2L9	0.666347	-0.143148	increase	decrease	FALSE	3	4	917	159	0.292664	0.877992
LRP1	LRP1_HUMAN	Q07954	-0.152875	0.240270	decrease	increase	FALSE	3	4	207	890	0.840927	0.313514
LRRC1	LRRC1_HUMAN	Q14160;Q9BTT6	0.050000	-0.458511	increase	decrease	FALSE	3	4	1205	649	0.070270	0.499614
LSM1	LSM1_HUMAN	O15116	1.098451	-0.142273	increase	decrease	FALSE	1	3	916	57	0.293436	0.956757
LSM12	LSM12_HUMAN	Q3MHD2	-1.655582	-0.415781	decrease	decrease	TRUE	3	4	1187	1288	0.084170	0.006178
LSM2	LSM2_HUMAN	Q9Y333	0.226946	0.004369	increase	increase	TRUE	3	4	603	457	0.535135	0.647876
LSM3	LSM3_HUMAN	P62310	-0.007733	0.059608	decrease	increase	FALSE	3	4	482	712	0.628571	0.450965
LSM4	LSM4_HUMAN	Q9Y4Z0	0.425799	0.655877	increase	increase	TRUE	3	4	39	282	0.970656	0.783012
LSM6	LSM6_HUMAN	P62312	-0.202891	0.010223	decrease	increase	FALSE	3	4	591	940	0.544402	0.274903
LSM8	LSM8_HUMAN	O95777	0.500201	0.000622	increase	increase	TRUE	3	4	609	240	0.530502	0.815444
LSP1	LSP1_HUMAN	P33241	-0.562784	-0.248454	decrease	decrease	TRUE	3	4	1054	1175	0.186873	0.093436
LSR	LSR_HUMAN	Q86X29	0.062736	-0.054731	increase	decrease	FALSE	3	4	750	636	0.421622	0.509653
LTBP1	LTBP1_HUMAN	Q14766	-0.002868	0.055182	decrease	increase	FALSE	3	4	491	703	0.621622	0.457915
LTN1	LTN1_HUMAN	O94822	0.145216	0.154082	increase	increase	TRUE	3	4	315	539	0.757529	0.584556
LYN	LYN_HUMAN	P07948	0.574005	0.529032	increase	increase	TRUE	3	4	59	195	0.955212	0.850193
LYRM4	LYRM4_HUMAN	Q9HD34	-0.077721	0.050825	decrease	increase	FALSE	3	4	499	795	0.615444	0.386873
LZIC	LZIC_HUMAN	Q8WZA0	-0.393051	0.119156	decrease	increase	FALSE	1	4	383	1087	0.705019	0.161390
MACF1	MACF1_HUMAN	Q15149;Q9UPN3	-0.111904	-0.281981	decrease	decrease	TRUE	3	4	1092	833	0.157529	0.357529
MAFF	MAFF_HUMAN	Q9ULX9	-0.121937	-2.443900	decrease	decrease	TRUE	3	2	1295	846	0.000772	0.347490
MAGT1	MAGT1_HUMAN	Q9H0U3	0.549042	0.142053	increase	increase	TRUE	3	4	343	216	0.735907	0.833977
MAL2	MAL2_HUMAN	Q969L2	0.387640	0.261727	increase	increase	TRUE	3	4	180	314	0.861776	0.758301
MANF	MANF_HUMAN	P55145	-0.224970	-0.559552	decrease	decrease	TRUE	3	4	1236	964	0.046332	0.256371
MAP1S	MAP1S_HUMAN	Q66K74	0.300417	0.324908	increase	increase	TRUE	3	4	132	392	0.898842	0.698069
MAP4	MAP4_HUMAN	P27816	-0.279714	-0.145172	decrease	decrease	TRUE	3	4	927	1008	0.284942	0.222394
MAT2B	MAT2B_HUMAN	Q9NZL9	-0.663730	-0.137328	decrease	decrease	TRUE	3	4	910	1205	0.298069	0.070270
MATR3	MATR3_HUMAN	P43243	-0.127871	0.046874	decrease	increase	FALSE	3	4	509	853	0.607722	0.342085
MAVS	MAVS_HUMAN	Q7Z434	0.316354	-0.274525	increase	decrease	FALSE	3	4	1081	378	0.166023	0.708880
MCEE	MCEE_HUMAN	Q96PE7	0.230004	0.436604	increase	increase	TRUE	3	4	84	455	0.935907	0.649421
MCFD2	MCFD2_HUMAN	Q8NI22	-0.528315	-0.486889	decrease	decrease	TRUE	3	4	1214	1160	0.063320	0.105019
MCM4	MCM4_HUMAN	P33991	-1.622138	0.524621	decrease	increase	FALSE	2	4	60	1285	0.954440	0.008494
MCM6	MCM6_HUMAN	Q14566	0.322124	-0.601382	increase	decrease	FALSE	2	2	1247	374	0.037838	0.711969
MCTS1	MCTS1_HUMAN	Q9ULC4	0.846389	0.239935	increase	increase	TRUE	3	4	208	109	0.840154	0.916602
MCU	MCU_HUMAN	Q8NE86	-0.598444	-0.440856	decrease	decrease	TRUE	2	3	1197	1189	0.076448	0.082625
MECP2	MECP2_HUMAN	P51608	0.731115	0.186684	increase	increase	TRUE	3	4	265	143	0.796139	0.890347
MECR	MECR_HUMAN	Q9BV79	-0.268084	-0.375424	decrease	decrease	TRUE	2	2	1165	1000	0.101158	0.228571
MESD	MESD_HUMAN	Q14696	-0.055595	0.042962	decrease	increase	FALSE	3	4	517	769	0.601544	0.406950
MEST	MEST_HUMAN	Q5EB52	0.740330	0.501619	increase	increase	TRUE	3	3	63	141	0.952124	0.891892
MFF	MFF_HUMAN	Q9GZY8	0.127801	0.522880	increase	increase	TRUE	1	2	61	562	0.953668	0.566795
MFN2	MFN2_HUMAN	O95140	0.300918	0.077063	increase	increase	TRUE	3	4	442	391	0.659459	0.698842
MGAT1	MGAT1_HUMAN	P26572	0.209599	0.087307	increase	increase	TRUE	3	4	424	477	0.673359	0.632432
MGAT2	MGAT2_HUMAN	Q10469	0.138000	-0.091532	increase	decrease	FALSE	3	4	830	547	0.359846	0.578378
MGLL	MGLL_HUMAN	Q99685	0.242264	0.223915	increase	increase	TRUE	3	4	224	439	0.827799	0.661776
MGST1	MGST1_HUMAN	P10620	-0.278319	-0.019669	decrease	decrease	TRUE	3	4	659	1006	0.491892	0.223938
MGST2	MGST2_HUMAN	Q99735	-0.189434	0.022393	decrease	increase	FALSE	3	4	570	927	0.560618	0.284942
MGST3	MGST3_HUMAN	O14880	0.836386	0.598986	increase	increase	TRUE	3	4	45	111	0.966023	0.915058
MIA3	MIA3_HUMAN	Q5JRA6	-0.551390	-0.248847	decrease	decrease	TRUE	3	4	1055	1170	0.186100	0.097297
MLEC	MLEC_HUMAN	Q14165	-0.032482	-0.254715	decrease	decrease	TRUE	3	4	1065	746	0.178378	0.424710
MMP14	MMP14_HUMAN	P50281	0.070022	0.210588	increase	increase	TRUE	3	4	239	631	0.816216	0.513514
MMS19	MMS19_HUMAN	Q96T76	0.563666	0.942459	increase	increase	TRUE	3	4	13	205	0.990734	0.842471
MNDA	MNDA_HUMAN	P41218	0.841350	-0.328695	increase	decrease	FALSE	3	4	1129	110	0.128958	0.915830
MOB1A	MOB1A_HUMAN	Q7L9L4;Q9H8S9	-0.481208	-0.614193	decrease	decrease	TRUE	3	4	1250	1142	0.035521	0.118919
MOGS	MOGS_HUMAN	Q13724	0.027270	0.069821	increase	increase	TRUE	3	4	452	671	0.651737	0.482625
MOV10	MOV10_HUMAN	Q9HCE1	0.693271	0.022552	increase	increase	TRUE	3	4	569	150	0.561390	0.884942
MPI	MPI_HUMAN	P34949	0.627855	0.063897	increase	increase	TRUE	3	4	467	179	0.640154	0.862548
MPRIP	MPRIP_HUMAN	Q6WCQ1	-0.852388	-0.179775	decrease	decrease	TRUE	3	4	984	1240	0.240927	0.043243
MPZL1	MPZL1_HUMAN	O95297	-1.605657	-0.589781	decrease	decrease	TRUE	1	2	1244	1284	0.040154	0.009266
MRE11	MRE11_HUMAN	P49959	-0.569414	-0.050794	decrease	decrease	TRUE	3	4	735	1177	0.433205	0.091892
MROH1	MROH1_HUMAN	Q8NDA8	-0.024268	-0.017099	decrease	decrease	TRUE	3	4	649	734	0.499614	0.433977
MSH2	MSH2_HUMAN	P43246	1.233243	0.242566	increase	increase	TRUE	1	2	202	43	0.844788	0.967568
MSH6	MSH6_HUMAN	P52701	0.267405	1.574206	increase	increase	TRUE	1	1	2	419	0.999228	0.677220
MSRA	MSRA_HUMAN	Q9UJ68	-0.787405	-1.732989	decrease	decrease	TRUE	2	2	1294	1226	0.001544	0.054054
MTA2	MTA2_HUMAN	O94776	-0.453761	-0.164132	decrease	decrease	TRUE	3	4	962	1131	0.257915	0.127413
MTAP	MTAP_HUMAN	Q13126	0.215076	0.006030	increase	increase	TRUE	3	4	598	463	0.538996	0.643243
MTCH1	MTCH1_HUMAN	Q9NZJ7	-1.412259	0.019080	decrease	increase	FALSE	3	4	577	1279	0.555212	0.013127
MTCH2	MTCH2_HUMAN	Q9Y6C9	0.210544	0.217559	increase	increase	TRUE	3	4	231	474	0.822394	0.634749
MTPN	MTPN_HUMAN	P58546	-0.579818	0.390265	decrease	increase	FALSE	3	4	100	1182	0.923552	0.088031
MTX2	MTX2_HUMAN	O75431	0.462882	1.646168	increase	increase	TRUE	2	4	1	259	1.000000	0.800772
MVP	MVP_HUMAN	Q14764	-0.083627	-0.346029	decrease	decrease	TRUE	3	4	1145	802	0.116602	0.381467
MX1	MX1_HUMAN	P20591;P20592	-0.433638	-0.424239	decrease	decrease	TRUE	3	4	1191	1119	0.081081	0.136680
MX2	MX2_HUMAN	P20592	0.534080	-0.386081	increase	decrease	FALSE	3	4	1173	221	0.094981	0.830116
MXRA7	MXRA7_HUMAN	P84157	-0.389707	-0.580153	decrease	decrease	TRUE	3	4	1242	1082	0.041699	0.165251
MYADM	MYADM_HUMAN	Q96S97	0.132884	-0.192393	increase	decrease	FALSE	3	4	1004	555	0.225483	0.572201
MYCBP	MYCBP_HUMAN	Q99417	0.211270	-0.048198	increase	decrease	FALSE	3	4	729	472	0.437838	0.636293
MYD88	MYD88_HUMAN	Q99836	0.649108	-0.447670	increase	decrease	FALSE	3	3	1199	161	0.074903	0.876448
MYDGF	MYDGF_HUMAN	Q969H8	0.164649	0.153058	increase	increase	TRUE	3	4	322	515	0.752124	0.603089
MYH10	MYH10_HUMAN	P35579;P35580	0.003879	-0.525925	increase	decrease	FALSE	3	4	1227	696	0.053282	0.463320
MYH9	MYH9_HUMAN	P35579	0.139925	-0.091890	increase	decrease	FALSE	3	4	832	544	0.358301	0.580695
MYL6	MYL6_HUMAN	P60660	0.212767	-0.076268	increase	decrease	FALSE	3	4	802	469	0.381467	0.638610
MYO1C	MYO1C_HUMAN	O00159	0.374216	-0.057959	increase	decrease	FALSE	3	4	759	325	0.414672	0.749807
MYO1D	MYO1D_HUMAN	O94832	0.052013	0.073059	increase	increase	TRUE	3	4	448	645	0.654826	0.502703
MYO1E	MYO1E_HUMAN	Q12965	-0.126063	-0.117465	decrease	decrease	TRUE	3	4	879	850	0.322008	0.344402
MYO6	MYO6_HUMAN	Q9UM54	0.343366	-0.000438	increase	decrease	FALSE	3	4	613	359	0.527413	0.723552
MYO9B	MYO9B_HUMAN	Q13459	0.718311	0.263359	increase	increase	TRUE	3	4	177	144	0.864093	0.889575
MYOF	MYOF_HUMAN	Q9NZM1	-0.065101	0.107626	decrease	increase	FALSE	3	4	399	782	0.692664	0.396911
NAA10	NAA10_HUMAN	P41227	-0.649522	-0.284278	decrease	decrease	TRUE	2	3	1095	1203	0.155212	0.071815
NAA15	NAA15_HUMAN	Q9BXJ9	0.345173	-0.031891	increase	decrease	FALSE	3	4	692	355	0.466409	0.726641
NAA25	NAA25_HUMAN	Q14CX7	0.994255	0.088591	increase	increase	TRUE	2	1	421	74	0.675676	0.943629
NAA50	NAA50_HUMAN	Q9GZZ1	-0.817627	-0.727269	decrease	decrease	TRUE	2	4	1270	1230	0.020077	0.050965
NAGK	NAGK_HUMAN	Q9UJ70	0.077662	-0.128157	increase	decrease	FALSE	3	4	900	622	0.305792	0.520463
NAMPT	NAMPT_HUMAN	P43490	0.134117	0.079852	increase	increase	TRUE	3	4	440	552	0.661004	0.574517
NASP	NASP_HUMAN	P49321	-0.377573	0.042538	decrease	increase	FALSE	3	4	518	1076	0.600772	0.169884
NAV1	NAV1_HUMAN	Q8NEY1	-1.010327	-0.016189	decrease	decrease	TRUE	2	4	647	1254	0.501158	0.032432
NBAS	NBAS_HUMAN	A2RRP1	0.396757	0.150341	increase	increase	TRUE	3	4	325	301	0.749807	0.768340
NCBP1	NCBP1_HUMAN	Q09161	0.899276	-0.099202	increase	decrease	FALSE	3	4	847	96	0.346718	0.926641
NCEH1	NCEH1_HUMAN	Q6PIU2	0.183780	0.023832	increase	increase	TRUE	3	4	567	496	0.562934	0.617761
NCF2	NCF2_HUMAN	P19878	-1.597708	-0.648314	decrease	decrease	TRUE	3	4	1259	1283	0.028571	0.010039
NCK1	NCK1_HUMAN	P16333	-0.034494	-0.049303	decrease	decrease	TRUE	3	4	733	750	0.434749	0.421622
NCLN	NCLN_HUMAN	Q969V3	-0.082867	-0.029607	decrease	decrease	TRUE	3	4	684	801	0.472587	0.382239
NCOA5	NCOA5_HUMAN	Q9HCD5	0.225822	-0.115027	increase	decrease	FALSE	3	4	875	459	0.325097	0.646332
NDRG1	NDRG1_HUMAN	Q92597	0.081293	0.125217	increase	increase	TRUE	3	4	373	616	0.712741	0.525097
NEDD8	NEDD8_HUMAN	Q15843	0.301434	-0.683251	increase	decrease	FALSE	3	4	1261	389	0.027027	0.700386
NEK7	NEK7_HUMAN	Q8TDX7	0.401761	-0.010158	increase	decrease	FALSE	3	4	637	297	0.508880	0.771429
NEK9	NEK9_HUMAN	Q8TD19	-0.099424	-0.019651	decrease	decrease	TRUE	3	4	658	816	0.492664	0.370656
NELFB	NELFB_HUMAN	Q8WX92	-0.287436	-0.294082	decrease	decrease	TRUE	3	4	1102	1014	0.149807	0.217761
NENF	NENF_HUMAN	Q9UMX5	0.134398	0.055849	increase	increase	TRUE	3	4	489	551	0.623166	0.575290
NEXN	NEXN_HUMAN	Q0ZGT2	0.002517	0.363716	increase	increase	TRUE	3	4	108	697	0.917375	0.462548
NFKB1	NFKB1_HUMAN	P19838	0.396524	0.137800	increase	increase	TRUE	3	4	356	302	0.725869	0.767568
NFKB2	NFKB2_HUMAN	Q00653	-0.430045	0.080243	decrease	increase	FALSE	3	4	439	1116	0.661776	0.138996
NFS1	NFS1_HUMAN	Q9Y697	0.688909	-0.172038	increase	decrease	FALSE	2	4	973	151	0.249421	0.884170
NFU1	NFU1_HUMAN	Q9UMS0	0.702124	-0.154170	increase	decrease	FALSE	2	4	940	147	0.274903	0.887259
NFXL1	NFXL1_HUMAN	Q6ZNB6	0.525180	-0.250632	increase	decrease	FALSE	3	4	1060	226	0.182239	0.826255
NHP2	NHP2_HUMAN	Q9NX24	0.185896	-0.448243	increase	decrease	FALSE	3	3	1200	492	0.074131	0.620849
NID1	NID1_HUMAN	P14543	0.755535	0.907759	increase	increase	TRUE	3	4	15	132	0.989189	0.898842
NISCH	NISCH_HUMAN	Q9Y2I1	-1.089145	0.844271	decrease	increase	FALSE	1	1	24	1261	0.982239	0.027027
NIT2	NIT2_HUMAN	Q9NQR4	0.124458	-0.390083	increase	decrease	FALSE	3	4	1175	566	0.093436	0.563707
NLRX1	NLRX1_HUMAN	Q86UT6	-0.098616	0.174176	decrease	increase	FALSE	3	4	284	815	0.781467	0.371429
NMI	NMI_HUMAN	Q13287	-1.073270	-0.019530	decrease	decrease	TRUE	2	4	655	1259	0.494981	0.028571
NMT1	NMT1_HUMAN	P30419	-0.184419	0.011726	decrease	increase	FALSE	3	4	588	918	0.546718	0.291892
NOL11	NOL11_HUMAN	Q9H8H0	0.520120	-0.238259	increase	decrease	FALSE	3	3	1046	229	0.193050	0.823938
NOLC1	NOLC1_HUMAN	Q14978	-0.570312	-0.073540	decrease	decrease	TRUE	3	4	793	1178	0.388417	0.091120
NOMO1	NOMO1_HUMAN	Q15155	-0.039920	-0.282613	decrease	decrease	TRUE	3	4	1094	754	0.155985	0.418533
NONO	NONO_HUMAN	P23246;Q15233	-0.851725	-0.048420	decrease	decrease	TRUE	3	4	730	1239	0.437066	0.044015
NOP56	NOP56_HUMAN	O00567	0.698002	0.163863	increase	increase	TRUE	3	4	296	148	0.772201	0.886486
NOP58	NOP58_HUMAN	Q9Y2X3	-0.355283	0.268445	decrease	increase	FALSE	3	4	176	1053	0.864865	0.187645
NOTUM	NOTUM_HUMAN	Q6P988	0.247306	0.589313	increase	increase	TRUE	3	4	50	434	0.962162	0.665637
NPC1	NPC1_HUMAN	O15118	0.343864	-0.394915	increase	decrease	FALSE	3	4	1178	357	0.091120	0.725097
NPC2	NPC2_HUMAN	P61916	-0.112280	-0.161541	decrease	decrease	TRUE	2	4	955	834	0.263320	0.356757
NPL	NPL_HUMAN	Q9BXD5	0.011499	-0.448356	increase	decrease	FALSE	1	3	1201	689	0.073359	0.468726
NQO2	NQO2_HUMAN	P16083	-0.139060	-0.494519	decrease	decrease	TRUE	3	4	1217	870	0.061004	0.328958
NRK	NRK_HUMAN	Q7Z2Y5	-0.139993	-0.568924	decrease	decrease	TRUE	3	4	1237	872	0.045560	0.327413
NRM	NRM_HUMAN	Q8IXM6	-0.533761	0.155697	decrease	increase	FALSE	3	3	309	1164	0.762162	0.101931
NSDHL	NSDHL_HUMAN	Q15738	-1.060406	-0.092022	decrease	decrease	TRUE	1	4	835	1258	0.355985	0.029344
NSF	NSF_HUMAN	P46459	-0.060439	-0.020343	decrease	decrease	TRUE	3	4	663	777	0.488803	0.400772
NSUN2	NSUN2_HUMAN	Q08J23	-0.398782	0.192764	decrease	increase	FALSE	3	4	254	1094	0.804633	0.155985
NT5C	NT5C_HUMAN	Q8TCD5	0.875283	-0.080902	increase	decrease	FALSE	3	4	811	102	0.374517	0.922008
NUBP2	NUBP2_HUMAN	Q9Y5Y2	-0.108786	0.172417	decrease	increase	FALSE	3	4	286	828	0.779923	0.361390
NUCB1	NUCB1_HUMAN	Q02818	-0.136152	-0.232714	decrease	decrease	TRUE	3	4	1039	863	0.198456	0.334363
NUCB2	NUCB2_HUMAN	P80303	0.184248	-0.186519	increase	decrease	FALSE	3	4	997	494	0.230888	0.619305
NUDC	NUDC_HUMAN	Q9Y266	-0.611208	-0.019639	decrease	decrease	TRUE	3	4	657	1195	0.493436	0.077992
NUDT5	NUDT5_HUMAN	Q9UKK9	-0.113749	-0.178355	decrease	decrease	TRUE	3	4	982	836	0.242471	0.355212
NUMA1	NUMA1_HUMAN	Q14980	-0.712334	0.245467	decrease	increase	FALSE	3	4	201	1215	0.845560	0.062548
NUP37	NUP37_HUMAN	Q8NFH4	-0.855841	0.430559	decrease	increase	FALSE	2	4	88	1241	0.932819	0.042471
NUP43	NUP43_HUMAN	Q8NFH3	0.040350	0.026871	increase	increase	TRUE	3	4	561	658	0.567568	0.492664
NUP54	NUP54_HUMAN	Q7Z3B4	-1.130866	0.010271	decrease	increase	FALSE	3	4	590	1265	0.545174	0.023938
NUP58	NUP58_HUMAN	Q9BVL2	0.515781	0.198022	increase	increase	TRUE	3	3	250	233	0.807722	0.820849
NUP62	NUP62_HUMAN	P37198	0.403230	0.464941	increase	increase	TRUE	2	4	70	296	0.946718	0.772201
NUP85	NUP85_HUMAN	Q9BW27	0.942737	0.384924	increase	increase	TRUE	3	4	103	84	0.921236	0.935907
NUP93	NUP93_HUMAN	Q8N1F7	-0.197782	-0.043169	decrease	decrease	TRUE	3	4	720	938	0.444788	0.276448
NUP98	NUP98_HUMAN	P52948	-0.798227	-0.143459	decrease	decrease	TRUE	3	4	921	1229	0.289575	0.051737
NXF1	NXF1_HUMAN	Q9UBU9	1.067385	0.062126	increase	increase	TRUE	3	4	476	61	0.633205	0.953668
OAS2	OAS2_HUMAN	P29728	-0.356414	-0.503326	decrease	decrease	TRUE	3	4	1219	1055	0.059459	0.186100
