gene	table_s1_protein	raw_protein_group	table_s1_log2fc_5uM_39h	raw_log2_delta	table_s1_direction	raw_direction	direction_agreement	raw_bde_detected	raw_vehicle_detected	raw_rank_by_delta_desc	table_s1_rank_by_delta_desc	raw_percentile_by_delta	table_s1_percentile_by_delta
ACOX1	ACOX1_HUMAN	Q15067	0.004923	-0.383105	increase	decrease	FALSE	3	4	1171	695	0.096525	0.464093
ACOX3	ACOX3_HUMAN	O15254	0.103511	-0.125096	increase	decrease	FALSE	3	4	895	590	0.309653	0.545174
ACSF2	ACSF2_HUMAN	Q96CM8	-0.949693	0.374473	decrease	increase	FALSE	2	2	105	1250	0.919691	0.035521
ACSL1	ACSL1_HUMAN	P33121	-0.133299	-0.241643	decrease	decrease	TRUE	3	4	1048	860	0.191506	0.336680
ACSL3	ACSL3_HUMAN	O60488;O95573	-0.009516	0.464499	decrease	increase	FALSE	3	4	71	713	0.945946	0.450193
ACSL4	ACSL4_HUMAN	O60488	0.258661	0.239057	increase	increase	TRUE	3	4	209	424	0.839382	0.673359
ACSL5	ACSL5_HUMAN	Q9ULC5	-0.141501	0.273956	decrease	increase	FALSE	3	4	173	875	0.867181	0.325097
ACTB	ACTB_HUMAN	P60709;P63261	-0.191625	-0.114623	decrease	decrease	TRUE	3	4	873	930	0.326641	0.282625
ACTN1	ACTN1_HUMAN	O43707;P12814	-0.215987	-0.152669	decrease	decrease	TRUE	3	4	937	956	0.277220	0.262548
ACTN4	ACTN4_HUMAN	O43707	-0.059375	-0.050936	decrease	decrease	TRUE	3	4	738	773	0.430888	0.403861
ADA	ADA_HUMAN	P00813	0.316541	0.165542	increase	increase	TRUE	3	4	292	377	0.775290	0.709653
ADIRF	ADIRF_HUMAN	Q15847	0.889265	-0.008013	increase	decrease	FALSE	1	3	631	98	0.513514	0.925097
ADK	ADK_HUMAN	P55263	0.089267	0.993170	increase	increase	TRUE	3	3	10	605	0.993050	0.533591
ADPRH	ADPRH_HUMAN	P54922	0.966054	0.514550	increase	increase	TRUE	3	4	62	78	0.952896	0.940541
ADRM1	ADRM1_HUMAN	Q16186	-0.258698	-0.052539	decrease	decrease	TRUE	3	4	745	990	0.425483	0.236293
AFAP1	AFAP1_HUMAN	Q8N556	0.362474	0.485321	increase	increase	TRUE	3	4	66	333	0.949807	0.743629
AGFG1	AGFG1_HUMAN	P52594	0.000049	0.146767	increase	increase	TRUE	3	4	334	699	0.742857	0.461004
AGK	AGK_HUMAN	Q53H12	0.797543	-0.279288	increase	decrease	FALSE	3	4	1088	121	0.160618	0.907336
AGO2	AGO2_HUMAN	Q9H9G7;Q9UKV8	1.113564	0.532627	increase	increase	TRUE	3	4	57	53	0.956757	0.959846
AHSA1	AHSA1_HUMAN	O95433	-0.137715	-0.143163	decrease	decrease	TRUE	3	4	918	866	0.291892	0.332046
AIF1	AIF1_HUMAN	P55008	-0.839995	-0.902892	decrease	decrease	TRUE	3	3	1285	1235	0.008494	0.047104
AIF1L	AIF1L_HUMAN	Q9BQI0	0.179440	0.120480	increase	increase	TRUE	3	4	380	499	0.707336	0.615444
AIFM1	AIFM1_HUMAN	O95831	-0.680918	-0.043387	decrease	decrease	TRUE	3	4	721	1209	0.444015	0.067181
AIMP1	AIMP1_HUMAN	Q12904	-0.090197	-0.121013	decrease	decrease	TRUE	3	4	890	809	0.313514	0.376062
AIMP2	AIMP2_HUMAN	Q13155	0.445833	0.025179	increase	increase	TRUE	3	4	563	267	0.566023	0.794595
AIP	AIP_HUMAN	O00170	0.298886	-0.175802	increase	decrease	FALSE	3	4	980	394	0.244015	0.696525
AKAP8	AKAP8_HUMAN	O43823	0.435785	0.262978	increase	increase	TRUE	2	4	179	274	0.862548	0.789189
ALDH2	ALDH2_HUMAN	P05091	-0.710812	-0.256657	decrease	decrease	TRUE	3	4	1067	1214	0.176834	0.063320
ALDOA	ALDOA_HUMAN	P04075	-0.537975	0.017321	decrease	increase	FALSE	3	4	579	1166	0.553668	0.100386
